imdb_title_id,MPAA_rating,Distributor,boxoffice_link
tt0109842,MPAAR,MiramaxSee full company information,https://www.boxofficemojo.com/title/tt0109842/?ref_=bo_se_r_1
tt0110632,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0110632/?ref_=bo_se_r_1
tt0109369,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109369/?ref_=bo_se_r_1
tt0111653,MPAAPG-13,TriStar PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111653/?ref_=bo_se_r_1
tt0110516,MPAAPG-13,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110516/?ref_=bo_se_r_1
tt0111194,MPAAPG-13,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111194/?ref_=bo_se_r_1
tt0111488,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0111488/?ref_=bo_se_r_1
tt0111438,MPAAR,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111438/?ref_=bo_se_r_1
tt0110932,MPAAPG-13,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110932/?ref_=bo_se_r_1
tt0109306,MPAAPG-13,Orion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109306/?ref_=bo_se_r_1
tt0111400,MPAAPG-13,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111400/?ref_=bo_se_r_1
tt0111161,MPAAR,Columbia PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111161/?ref_=bo_se_r_1
tt0110997,MPAAPG-13,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110997/?ref_=bo_se_r_1
tt0110186,MPAAR,Gramercy Pictures (I)See full company information,https://www.boxofficemojo.com/title/tt0110186/?ref_=bo_se_r_1
tt0109707,MPAAR,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109707/?ref_=bo_se_r_1
tt0106611,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0106611/?ref_=bo_se_r_1
tt0108122,MPAAR,Fine Line FeaturesSee full company information,https://www.boxofficemojo.com/title/tt0108122/?ref_=bo_se_r_1
tt0111255,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0111255/?ref_=bo_se_r_1
tt0110737,MPAAPG,TriStar PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110737/?ref_=bo_se_r_1
tt0110912,MPAAR,MiramaxSee full company information,https://www.boxofficemojo.com/title/tt0110912/?ref_=bo_se_r_1
tt0110364,MPAAPG,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0110364/?ref_=bo_se_r_1
tt0111686,MPAAR,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0111686/?ref_=bo_se_r_1
tt0109758,MPAAR,Savoy Pictures,https://www.boxofficemojo.com/title/tt0109758/?ref_=bo_se_r_1
tt0109445,MPAAR,MiramaxSee full company information,https://www.boxofficemojo.com/title/tt0109445/?ref_=bo_se_r_1
tt0110391,MPAAPG-13,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0110391/?ref_=bo_se_r_1
tt0109348,MPAAR,MiramaxSee full company information,https://www.boxofficemojo.com/title/tt0109348/?ref_=bo_se_r_1
tt0111003,MPAAR,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111003/?ref_=bo_se_r_1
tt0111282,MPAAPG-13,Metro-Goldwyn-Mayer (MGM)See full company information,https://www.boxofficemojo.com/title/tt0111282/?ref_=bo_se_r_1
tt0111001,MPAAR,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0111001/?ref_=bo_se_r_1
tt0111271,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111271/?ref_=bo_se_r_1
tt0111187,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0111187/?ref_=bo_se_r_1
tt0109836,MPAAR,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0109836/?ref_=bo_se_r_1
tt0111667,MPAAPG-13,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111667/?ref_=bo_se_r_1
tt0107943,MPAAPG,Columbia PicturesSee full company information,https://www.boxofficemojo.com/title/tt0107943/?ref_=bo_se_r_1
tt0111070,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111070/?ref_=bo_se_r_1
tt0110148,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0110148/?ref_=bo_se_r_1
tt0107822,MPAAR,MiramaxSee full company information,https://www.boxofficemojo.com/title/tt0107822/?ref_=bo_se_r_1
tt0108333,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0108333/?ref_=bo_se_r_1
tt0111280,MPAAPG,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111280/?ref_=bo_se_r_1
tt0110413,MPAAR,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0110413/?ref_=bo_se_r_1
tt0110527,MPAAPG,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0110527/?ref_=bo_se_r_1
tt0111333,MPAAG,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0111333/?ref_=bo_se_r_1
tt0106220,MPAAPG-13,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0106220/?ref_=bo_se_r_1
tt0110216,MPAAPG-13,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110216/?ref_=bo_se_r_1
tt0110763,MPAAG,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0110763/?ref_=bo_se_r_1
tt0107614,MPAAPG-13,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0107614/?ref_=bo_se_r_1
tt0107808,MPAAPG-13,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0107808/?ref_=bo_se_r_1
tt0110399,MPAAR,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110399/?ref_=bo_se_r_1
tt0111477,MPAAPG-13,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0111477/?ref_=bo_se_r_1
tt0109635,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0109635/?ref_=bo_se_r_1
tt0109676,MPAAR,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109676/?ref_=bo_se_r_1
tt0108147,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0108147/?ref_=bo_se_r_1
tt0108525,MPAAPG-13,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0108525/?ref_=bo_se_r_1
tt0108149,MPAAR,Metro-Goldwyn-Mayer (MGM)See full company information,https://www.boxofficemojo.com/title/tt0108149/?ref_=bo_se_r_1
tt0107004,MPAAPG-13,Columbia PicturesSee full company information,https://www.boxofficemojo.com/title/tt0107004/?ref_=bo_se_r_1
tt0108052,MPAAR,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0108052/?ref_=bo_se_r_1
tt0109686,MPAAPG-13,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0109686/?ref_=bo_se_r_1
tt0111256,MPAAPG-13,Metro-Goldwyn-Mayer (MGM)See full company information,https://www.boxofficemojo.com/title/tt0111256/?ref_=bo_se_r_1
tt0110638,MPAAPG-13,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0110638/?ref_=bo_se_r_1
tt0107798,MPAAPG-13,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0107798/?ref_=bo_se_r_1
tt0106375,MPAAPG,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0106375/?ref_=bo_se_r_1
tt0108550,MPAAPG-13,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0108550/?ref_=bo_se_r_1
tt0110367,MPAAPG,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0110367/?ref_=bo_se_r_1
tt0110989,MPAAPG,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0110989/?ref_=bo_se_r_1
tt0110538,MPAAPG-13,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0110538/?ref_=bo_se_r_1
tt0111301,MPAAPG-13,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111301/?ref_=bo_se_r_1
tt0107818,MPAAPG-13,TriStar PicturesSee full company information,https://www.boxofficemojo.com/title/tt0107818/?ref_=bo_se_r_1
tt0108358,MPAAR,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0108358/?ref_=bo_se_r_1
tt0107050,MPAAPG-13,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0107050/?ref_=bo_se_r_1
tt0110213,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110213/?ref_=bo_se_r_1
tt0110099,MPAAPG,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110099/?ref_=bo_se_r_1
tt0107096,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0107096/?ref_=bo_se_r_1
tt0110907,MPAAR,MiramaxSee full company information,https://www.boxofficemojo.com/title/tt0110907/?ref_=bo_se_r_1
tt0106364,MPAAPG,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0106364/?ref_=bo_se_r_1
tt0107009,MPAAR,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0107009/?ref_=bo_se_r_1
tt0110066,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110066/?ref_=bo_se_r_1
tt0113305,MPAAR,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0113305/?ref_=bo_se_r_1
tt0114608,MPAAR,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0114608/?ref_=bo_se_r_1
